Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Apple,Ultrabook,8,1.37,11.175754549129524,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,10.77677731765335,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,10.329931067029484,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others
Apple,Ultrabook,16,1.83,11.814475944954545,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,11.473100972779063,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,9.967025573340116,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,11.64410811545818,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,11.03061499223515,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,11.28544251205692,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,10.621951541079865,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,9.951658096208996,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Others
HP,Notebook,4,1.86,9.81907645733616,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others
Apple,Ultrabook,16,1.83,11.775302049361828,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,10.187966701099125,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,11.116330976323743,0,1,226.4155471693585,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,11.301072237406668,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,10.588945244611692,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,11.933438384721946,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,10.188167121983652,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others
Dell,Ultrabook,8,1.22,10.862092668762644,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,9.232535429245788,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,10.882315804880689,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,9.528520611153752,0,0,100.45466986113652,AMD Processor,500,0,AMD,Others
Dell,2 in 1 Convertible,8,1.62,10.683645110085203,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,10.46628456073464,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,10.012572388296086,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,10.977716980635757,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,10.660172753900062,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,11.144140923496169,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,10.773501439207063,0,0,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,9.476778419617322,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,9.268865850956626,0,0,111.93520355955212,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,10.060060439307303,0,0,127.33567457123112,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,11.508719833687696,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,10.881314302543595,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,9.49301392269684,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,9.880922874286703,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Others
Dell,Notebook,8,2.8,10.862092668762644,0,1,127.33567457123112,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,10.167289367847482,0,0,100.45466986113652,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,10.754345923917311,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,9.93914036985058,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others
Dell,Gaming,16,2.65,11.288114524334732,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,10.235123369655367,0,0,100.45466986113652,Intel Core i5,1000,0,Nvidia,Others
Acer,Notebook,4,2.2,10.500590684075595,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,10.882315804880689,1,0,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,11.233268703392175,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,9.88635767027266,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Others
Asus,Gaming,8,3.2,11.144911042902732,0,0,127.33567457123112,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,2.3,10.435465480609668,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,10.11974666035778,0,0,90.58340172449304,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,9.74075212901698,1,1,224.1738090785728,Other Intel Processor,0,0,Intel,Others
Acer,Notebook,8,2.2,10.71015268620508,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,9.963243430044656,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,10.981350045485636,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,9.92620357881986,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,10.619090308798832,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,10.060060439307303,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,10.349204995339194,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,11.7789960831843,0,0,127.33567457123112,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2.0,10.003839546462832,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others
Dell,Notebook,16,2.8,11.144911042902732,0,0,127.33567457123112,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,10.754345923917311,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,10.370822624347584,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others
Asus,Notebook,8,1.4,10.822504165817511,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,10.51225262382344,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,11.56792715475193,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,10.059354039524033,0,0,100.45466986113652,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,9.409283029786373,0,0,111.93520355955212,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,10.283659467741664,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,10.83096982484206,0,0,127.33567457123112,Intel Core i7,1000,0,Nvidia,Others
Microsoft,Ultrabook,4,1.252,10.968576149165091,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,10.837272366712863,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,10.744054237880762,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,10.974070668482735,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,9.93914036985058,0,0,111.93520355955212,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,10.83096982484206,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,10.227464909398025,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others
Dell,Notebook,8,2.02,10.726662495168894,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,2.2,10.2484380327783,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,10.860047678274915,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,10.975129468486722,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
